"type","lat","lng","id","zone","device","description"
"Point","40.37473790157952","-3.6947220045487876","4804","city","25039","AV. ANDALUCIA S-N (LATERAL)"
"Point","40.41726853168084","-3.6221671102543986","5969","city","45023","C/. Aquitania - Pl. Alsacia-Capri"
"Point","40.392423843780115","-3.7038296584735986","4792","city","25026"," SAN GRACIANO E-O"
"Point","40.38555207622706","-3.7260476639072486","3574","city","50030","SAN VICENTE PAUL S-N"
"Point","40.378922861738126","-3.7337533191318615","5144","city","58011","CARCASTILLO SO-NE(BESOLLA-C.V.LEGANES)"
"Point","40.37673985504682","-3.7332867793588855","5148","city","58015","AV.ABRANTES O-E(BESOLLA-PL.VULCANO) GIRO"
"Point","40.40492961702323","-3.7248366807323143","5197","city","81017","P.ERMITA STO N-S(V.CARPETANA-S.AMBROSIO)"
"Point","40.40376482735386","-3.7235800707943687","7008","city","81019","PTE S.ISIDRO E-O(P.MELANC.-P.ERMITA STO)"
"Point","40.34898412459201","-3.6759664008126496","5350","city","87019","ZAFIRO O-E (ESTEFANIA-AV.ROSALES)"
"Point","40.41705336540751","-3.6692493736846745","3860","city","2005"," Dr. Esquerdo S-N - Alcalde Sainz Baranda-Ibiza"
"Point","40.42139171578554","-3.6623114321061623","3564","city","2029"," Alcalde Sainz Baranda E-O - Giro Izq. a Torrespana"
"Point","40.38562637333531","-3.6880611560237972","3582","city","11036","Puerto Serrano E-O - Puerto Miravete-Embajadores"
"Point","40.44395071570215","-3.6442688031209554","6057","city","46412","C/. Marqués de Pico Velasco 53 - Misterios-Arturo Soria"
"Point","40.441759436283384","-3.6403798619376957","6058","city","46413","C/. López de Aranda - Gral Aranaz-Arturo Soria"
"Point","40.46159511649218","-3.659509129856489","6059","city","46414","C/. Mesena - Emilio Rubin-Navarro Amandi"
"Point","40.412435265099404","-3.6767761112017276","3609","city","10019","Menendez Pelayo N-S - (Pio  Baroja-Niño Jesus(Puerta Granada)"
"Point","40.40201538514545","-3.711828999539426","4229","city","14030","Pº Acacias O-E - Piramides-Dr. Vallejo Nájera"
"Point","40.403263420394026","-3.7090520585430267","4227","city","14028","Pº Acacias E-O - Gasómetro-Pº de los Olmos"
"Point","40.40376642379416","-3.7107480864126843","4228","city","14029","Pº de los Olmos N-S - Ronda Toledo-Pº Acacias"
